API_Code,IndicatorName,Identifier,ShortDefinition,Source,Topic
1.1_ACCESS.ELECTRICITY.TOT,Access to electricity (% of total population),1000,Access to electricity (% of to,World Bank,Access to energy
1.1_TOTAL.FINAL.ENERGY.CONSUM,Total final energy consumption (TFEC) (TJ),1010,Total final energy consumption,World Bank,Renewable Energy
1.2_ACCESS.ELECTRICITY.RURAL,Access to electricity (% of rural population with access),1020,Access to electricity (% of ru,World Bank,Access to energy
1.3_ACCESS.ELECTRICITY.URBAN,Access to electricity (% of urban population with access),1030,Access to electricity (% of ur,World Bank,Access to energy
2.1_SHARE.TOTAL.RE.IN.TFEC,Renewable energy share of TFEC (%),1040,Renewable energy share of TFEC,World Bank,Renewable Energy
3.1_RE.CONSUMPTION,Renewable energy consumption (TJ),1050,Renewable energy consumption (,World Bank,Renewable Energy
4.1_SHARE.RE.IN.ELECTRICITY,Renewable electricity share of total electricity output (%),1060,Renewable electricity share of,World Bank,Renewable Energy
4.1.1_TOTAL.ELECTRICITY.OUTPUT,Total electricity output (GWh),1070,Total electricity output (GWh),World Bank,Renewable Energy
4.1.2_REN.ELECTRICITY.OUTPUT,Renewable electricity output (GWh),1080,Renewable electricity output (,World Bank,Renewable Energy
6.1_PRIMARY.ENERGY.INTENSITY,Energy intensity level of primary energy (MJ/2011 USD PPP),1090,Energy intensity level of prim,World Bank,Energy efficiency
AG.SRF.TOTL.K2,Surface area (sq. km),1100,Surface area is a country's to,Surface area is a country's to,Food and Agriculture Organizat
EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)",1110,"Access to electricity, rural i","World Bank, Sustainable Energy",Environment: Energy production
EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)",1120,"Access to electricity, urban i","World Bank, Sustainable Energy",Environment: Energy production
EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1130,Sources of electricity refer t,International Energy Agency (I,Environment: Energy production
EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)",1140,Sources of electricity refer t,International Energy Agency (I,Environment: Energy production
EG.ELC.HYRO.ZS,Electricity production from hydroelectric sources (% of total),1150,Sources of electricity refer t,International Energy Agency (I,Environment: Energy production
EG.ELC.LOSS.ZS,Electric power transmission and distribution losses (% of output),1160,Electric power transmission an,International Energy Agency (I,Environment: Energy production
EG.ELC.NGAS.ZS,Electricity production from natural gas sources (% of total),1170,Sources of electricity refer t,International Energy Agency (I,Environment: Energy production
EG.ELC.NUCL.ZS,Electricity production from nuclear sources (% of total),1180,Sources of electricity refer t,International Energy Agency (I,Environment: Energy production
EG.ELC.PETR.ZS,Electricity production from oil sources (% of total),1190,Sources of electricity refer t,International Energy Agency (I,Environment: Energy production
EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",1200,Sources of electricity refer t,International Energy Agency (I,Environment: Energy production
EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),1210,Renewable energy consumption i,"World Bank, Sustainable Energy",Environment: Energy production
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1220,Net energy imports are estimat,International Energy Agency (I,Environment: Energy production
EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1230,Clean energy is noncarbohydrat,International Energy Agency (I,Environment: Energy production
EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total),1240,"Fossil fuel comprises coal, oi",International Energy Agency (I,Environment: Energy production
EG.USE.CRNW.ZS,Combustible renewables and waste (% of total energy),1250,Combustible renewables and was,International Energy Agency (I,Environment: Energy production
EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),1260,Electric power consumption mea,International Energy Agency (I,Environment: Energy production
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),1270,Energy use refers to use of pr,International Energy Agency (I,Environment: Energy production
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),1280,Energy use refers to use of pr,International Energy Agency (I,Environment: Energy production
EN.ATM.CO2E.GF.KT,CO2 emissions from gaseous fuel consumption (kt),1290,Energy use refers to use of pr,International Energy Agency (I,Environment: Energy production
